Real Time,Time,Current Temperature,Setpoint
Mon Apr 11 14:30:47 2022,0.0007580987612406413,24.2,24.0
Mon Apr 11 14:30:56 2022,0.0032435095972485014,24.2,24.0
Mon Apr 11 14:31:05 2022,0.005784459776348538,24.2,24.1
Mon Apr 11 14:31:14 2022,0.008350403176413642,24.2,24.2
Mon Apr 11 14:31:24 2022,0.011124649445215861,24.2,24.3
Mon Apr 11 14:31:34 2022,0.013890536096360949,24.1,24.4
Mon Apr 11 14:31:44 2022,0.01668695668379466,24.1,24.5
Mon Apr 11 14:31:54 2022,0.01944663577609592,24.2,24.5
Mon Apr 11 14:32:04 2022,0.022226442363527086,24.2,24.6
Mon Apr 11 14:32:14 2022,0.02500069306956397,24.1,24.7
Mon Apr 11 14:32:24 2022,0.027777886854277716,24.1,24.8
Mon Apr 11 14:32:34 2022,0.030557692911889818,24.1,24.9
Mon Apr 11 14:32:44 2022,0.03335415773921543,24.1,25.0
